IFF-72_KunickasV_L1_dat_1.json
Pradiniai duomenys
        Marke|         Rida|        Metai|            Sandauga
-----------------------------------------------------------------
          Bmw|     463064.9|         1999|           2777000204.6
Mercedes-benz|     238326.0|         2005|           6211967121.4
         Audi|      94660.6|         2014|            762585598.5
      Porsche|      92999.2|         1981|           1289620473.5
         Opel|     314013.7|         1979|           2485732221.8
   Volkswagen|     135016.1|         2002|           2703021848.1
      Ferrari|     289022.8|         1971|           3987647914.6
         Fiat|     277054.8|         1985|           2199815127.4
  Lamborghini|     293164.0|         1995|           6433483904.5
      Bugatti|     169308.4|         1984|           2351355002.3
      Peugeot|      65191.1|         2001|            913131465.8
      Renault|     467289.8|         2011|           6578037925.2
      Citroen|     493976.4|         1996|           6901838013.5
        Volvo|     474455.0|         2018|           4787250920.7
   Koenigsegg|     360972.4|         1975|           7129205474.6
 Aston-Martin|     348847.6|         1983|           8301177480.8
         Mini|     266437.2|         1972|           2101656732.9
   Land Rover|     238319.6|         2009|           4787839784.0
  Range Rover|     322986.2|         1995|           7087933102.1
        Mazda|      72082.2|         1982|            714334900.8
       Toyota|     402472.7|         1995|           4817598667.1
       Subaru|     171094.3|         1975|           2027467044.8
   Mitsubishi|     308194.5|         2002|           6170053607.1
       Suzuki|     110159.8|         1994|           1317951384.5
       Nissan|     170627.1|         2007|           2054691972.9
         Ford|     413790.5|         2004|           3316944489.2
    Chevrolet|     447057.1|         2001|           8051051347.2
        Dodge|     155578.0|         2000|           1555780075.3

Rezultatai
        Marke|         Rida|        Metai|            Sandauga
-----------------------------------------------------------------
 Aston-Martin|     348847.6|         1983|           8301177480.8
         Audi|      94660.6|         2014|            762585598.5
          Bmw|     463064.9|         1999|           2777000204.6
      Bugatti|     169308.4|         1984|           2351355002.3
    Chevrolet|     447057.1|         2001|           8051051347.2
      Citroen|     493976.4|         1996|           6901838013.5
        Dodge|     155578.0|         2000|           1555780075.3
      Ferrari|     289022.8|         1971|           3987647914.6
         Fiat|     277054.8|         1985|           2199815127.4
         Ford|     413790.5|         2004|           3316944489.2
   Koenigsegg|     360972.4|         1975|           7129205474.6
  Lamborghini|     293164.0|         1995|           6433483904.5
   Land Rover|     238319.6|         2009|           4787839784.0
        Mazda|      72082.2|         1982|            714334900.8
Mercedes-benz|     238326.0|         2005|           6211967121.4
         Mini|     266437.2|         1972|           2101656732.9
   Mitsubishi|     308194.5|         2002|           6170053607.1
       Nissan|     170627.1|         2007|           2054691972.9
         Opel|     314013.7|         1979|           2485732221.8
      Peugeot|      65191.1|         2001|            913131465.8
      Porsche|      92999.2|         1981|           1289620473.5
  Range Rover|     322986.2|         1995|           7087933102.1
      Renault|     467289.8|         2011|           6578037925.2
       Subaru|     171094.3|         1975|           2027467044.8
       Suzuki|     110159.8|         1994|           1317951384.5
       Toyota|     402472.7|         1995|           4817598667.1
   Volkswagen|     135016.1|         2002|           2703021848.1
        Volvo|     474455.0|         2018|           4787250920.7

IFF-72_KunickasV_L1_dat_2.json
Pradiniai duomenys
        Marke|         Rida|        Metai|            Sandauga
-----------------------------------------------------------------
          Bmw|      39397.3|         1983|            234374643.0
Mercedes-benz|       7880.2|         1984|            203246885.4
         Audi|       4557.7|         2001|             36480113.3
      Porsche|      26465.9|         2000|            370522450.4
         Opel|      39440.4|         2003|            315996221.7
   Volkswagen|      15534.9|         1992|            309454218.2
      Ferrari|      10214.1|         2006|            143426547.7
         Fiat|       2351.7|         2017|             18973852.6
  Lamborghini|       9665.8|         1981|            210627301.3
      Bugatti|       8309.8|         1988|            115639577.9
      Peugeot|      16303.6|         1984|            226424190.6
      Renault|      34848.7|         1983|            483734485.6
      Citroen|      11188.5|         2004|            156952733.4
        Volvo|      38671.7|         1993|            385363934.3
   Koenigsegg|     142924.2|         1978|           2827041401.3
 Aston-Martin|     208834.7|         1999|           5009527379.2
         Mini|     204019.7|         2000|           1632157436.4
   Land Rover|     422284.0|         1991|           8407675136.4
  Range Rover|     236710.4|         1996|           5197214257.3
        Mazda|     251150.6|         2007|           2520296705.9
       Toyota|     374207.0|         1977|           4438843151.8
       Subaru|     320294.7|         1987|           3818553008.3
   Mitsubishi|     319113.0|         1971|           6289716435.7
       Suzuki|      44647.3|         1992|            533624409.2
       Nissan|     471749.1|         1974|           5587396554.2
         Ford|     328212.1|         2003|           2629635363.9
    Chevrolet|     331800.5|         2013|           6011229002.0
        Dodge|     268752.2|         1976|           2655271609.0

Rezultatai
        Marke|         Rida|        Metai|            Sandauga
-----------------------------------------------------------------
 Aston-Martin|     208834.7|         1999|           5009527379.2
    Chevrolet|     331800.5|         2013|           6011229002.0
        Dodge|     268752.2|         1976|           2655271609.0
         Ford|     328212.1|         2003|           2629635363.9
   Koenigsegg|     142924.2|         1978|           2827041401.3
   Land Rover|     422284.0|         1991|           8407675136.4
        Mazda|     251150.6|         2007|           2520296705.9
         Mini|     204019.7|         2000|           1632157436.4
   Mitsubishi|     319113.0|         1971|           6289716435.7
       Nissan|     471749.1|         1974|           5587396554.2
  Range Rover|     236710.4|         1996|           5197214257.3
       Subaru|     320294.7|         1987|           3818553008.3
       Suzuki|      44647.3|         1992|            533624409.2
       Toyota|     374207.0|         1977|           4438843151.8

IFF-72_KunickasV_L1_dat_3.json
Pradiniai duomenys
        Marke|         Rida|        Metai|            Sandauga
-----------------------------------------------------------------
          Bmw|      78500.6|         2004|            471945715.6
Mercedes-benz|        346.1|         1986|              8936847.0
         Audi|      12270.2|         1995|             97916248.6
      Porsche|       8466.4|         1981|            117402968.0
         Opel|      35782.3|         1971|            282107902.5
   Volkswagen|       5673.6|         2000|            113472589.3
      Ferrari|      35079.2|         1975|            484969590.1
         Fiat|      51542.4|         2001|            412545438.1
  Lamborghini|      10885.3|         1987|            237919913.1
      Bugatti|      20228.3|         1978|            280081277.4
      Peugeot|      28044.2|         1977|            388103790.8
      Renault|      29960.0|         1982|            415664451.7
      Citroen|      15579.2|         1993|            217345534.6
        Volvo|      46540.1|         1970|            458420048.4
   Koenigsegg|      16313.5|         1980|            323006438.1
 Aston-Martin|      12339.3|         2018|            298808821.8
         Mini|       9528.8|         1989|             75810891.3
   Land Rover|      14467.4|         1979|            286309270.8
  Range Rover|       6081.1|         1992|            133249442.7
        Mazda|      17232.8|         2014|            173533985.6
       Toyota|       7200.2|         2008|             86747444.3
       Subaru|       2814.2|         1978|             33398596.9
   Mitsubishi|      12080.6|         2004|            242095639.8
       Suzuki|       4734.9|         1987|             56449323.4
       Nissan|      24620.9|         2011|            297075879.8
         Ford|        695.2|         1995|              5547953.8
    Chevrolet|       6736.6|         2007|            121683783.3
        Dodge|      21978.5|         2014|            221323148.8

