|   Marke   | Rida |  Metai  | 
---------------------------------
|        Bmw| 463064.90|   1999|
|Mercedes-benz| 238326.00|   2005|
|       Audi|  94660.58|   2014|
|    Porsche|  92999.24|   1981|
|       Opel| 314013.67|   1979|
| Volkswagen| 135016.08|   2002|
|    Ferrari| 289022.82|   1971|
|       Fiat| 277054.80|   1985|
|Lamborghini| 293164.00|   1995|
|    Bugatti| 169308.40|   1984|
|    Peugeot|  65191.08|   2001|
|    Renault| 467289.76|   2011|
|    Citroen| 493976.38|   1996|
|      Volvo| 474455.00|   2018|
| Koenigsegg| 360972.43|   1975|
|Aston-Martin| 348847.60|   1983|
|       Mini| 266437.21|   1972|
| Land Rover| 238319.55|   2009|
|Range Rover| 322986.24|   1995|
|      Mazda|  72082.23|   1982|
|     Toyota| 402472.74|   1995|
|     Subaru| 171094.27|   1975|
| Mitsubishi| 308194.49|   2002|
|     Suzuki| 110159.76|   1994|
|     Nissan| 170627.14|   2007|
|       Ford| 413790.48|   2004|
|  Chevrolet| 447057.10|   2001|
|      Dodge| 155578.01|   2000|
  28 

|   Marke   | Rida |  Metai  | Sandauga |
----------------------------------------------
|Aston-Martin| 348847.60|   1983|8301177480.79|
|  Chevrolet| 447057.10|   2001|8051051347.23|
| Koenigsegg| 360972.43|   1975|7129205474.63|
|Range Rover| 322986.24|   1995|7087933102.14|
|    Citroen| 493976.38|   1996|6901838013.54|
|    Renault| 467289.76|   2011|6578037925.23|
|Lamborghini| 293164.00|   1995|6433483904.49|
|Mercedes-benz| 238326.00|   2005|6211967121.36|
| Mitsubishi| 308194.49|   2002|6170053607.10|
|     Toyota| 402472.74|   1995|4817598667.07|
| Land Rover| 238319.55|   2009|4787839783.96|
|      Volvo| 474455.00|   2018|4787250920.69|
|    Ferrari| 289022.82|   1971|3987647914.62|
|       Ford| 413790.48|   2004|3316944489.23|
|        Bmw| 463064.90|   1999|2777000204.60|
| Volkswagen| 135016.08|   2002|2703021848.12|
|       Opel| 314013.67|   1979|2485732221.82|
|    Bugatti| 169308.40|   1984|2351355002.29|
|       Fiat| 277054.80|   1985|2199815127.44|
|       Mini| 266437.21|   1972|2101656732.95|
|     Nissan| 170627.14|   2007|2054691972.86|
|     Subaru| 171094.27|   1975|2027467044.76|
|      Dodge| 155578.01|   2000|1555780075.28|
|     Suzuki| 110159.76|   1994|1317951384.48|
|    Porsche|  92999.24|   1981|1289620473.46|
|    Peugeot|  65191.08|   2001| 913131465.84|
|       Audi|  94660.58|   2014| 762585598.47|
|      Mazda|  72082.23|   1982| 714334900.85|
  28 

