EA,748,Gadgets & Games,57,274186,3.33,1636,288
nabildo,747,Music,170,48417,4.16,161,78
Atvaark,748,Film & Animation,299,41619,4.44,131,112
Zer0ph34r,747,Comedy,23,38080,4.49,262,65
RobinThickeOfficial,748,Music,26,36140,3.89,19,11
chorest,748,Comedy,47,26289,4.59,97,23
specialgirlsasiana,748,People & Blogs,26,21409,3.06,18,5
desheik,747,People & Blogs,155,15374,3.83,46,34
wowguide111,749,Entertainment,156,19290,4.29,7,5
avmania123,748,Entertainment,324,19231,5.0,5,0
burninlover,747,Film & Animation,137,18894,4.52,122,42
bolaoito2007,747,Sports,230,18425,4.14,14,8
aksar69,748,People & Blogs,47,18278,3.1,10,2
bushbaby999,747,News & Politics,30,17978,1.0,35,10
infelt,749,Entertainment,25,17506,5.0,22,22
boringcrap001,747,Autos & Vehicles,570,17082,4.51,43,45
UltimateKeliss,748,Entertainment,103,16122,3.33,9,7
AllHipHopcom,748,Music,356,6329,5.0,2,5
FlashAndEscape,748,Howto & DIY,276,15245,4.25,24,35
temairi,747,Music,245,14062,3.96,79,53
everlastingsmile77,747,Entertainment,654,13849,4.84,88,45
hockeyfightsdotcom,747,Sports,24,9682,4.81,26,6
THEUSEDCHANNEL,748,Music,161,11199,4.86,21,40
HaniHajime,748,Pets & Animals,55,13420,3.7,10,0
danipierra,749,Entertainment,208,13020,3.76,17,30
everlastingsmile77,747,Entertainment,656,12800,4.84,89,11
bopepper,747,Music,178,8119,4.71,7,2
oneminormishap07,748,Comedy,97,12612,3.54,35,15
addict2ad,749,Entertainment,35,12534,5.0,1,0
WilliamSledd,749,People & Blogs,448,12248,4.35,414,392
xeo15,748,Comedy,60,12247,4.38,26,11
MuscleHead570,747,News & Politics,83,11899,3.57,28,62
masun2,748,Entertainment,95,11559,4.71,7,4
yester78,748,Entertainment,126,11342,5.0,21,15
everlastingsmile77,747,Entertainment,658,11067,4.97,90,22
rtpsa,748,Comedy,50,8017,4.17,12,4
ysabellabravetalk,747,People & Blogs,42,10786,4.69,83,76
blucuttie728,748,Entertainment,601,10736,4.8,35,25
hockeyfightsdotcom,747,Sports,53,8235,4.89,9,0
millionmovies,749,Entertainment,520,0,0.0,0,0
dima112233,748,People & Blogs,29,4089,1.62,8,1
wuwm,748,News & Politics,31,10237,3.61,18,25
rennestar,747,Sports,16,10177,4.69,26,20
giomic,748,News & Politics,160,3801,3.24,29,91
